"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"X CAS";"1";"56";"38.09";"59";"15";"33.6";"424.5";"<10.6-12.1>";66;"fading";"fading";"fading";"fading";"MIN(11)";"rising";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(10)"
"U PER";"1";"59";"35.1";"54";"49";"19.9";"324.4";"<8.3-11.2>";242;"fading";"fading";"fading";"MIN(5)";"rising";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading";"fading"
"S ARI";"2";"4";"37.66";"12";"31";"37.4";"293.1";"<11.7-16.4>";24;"rising";"rising";"MAX(25)";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(15)"
"R ARI";"2";"16";"7.1";"25";"3";"23.6";"186.9";"<8.1-12.9>";291;"rising";"rising";"MAX(15)";"fading";"fading";"MIN(21)";"rising";"rising";"MAX(21)";"fading";"fading";"MIN(24)";"rising"
"W AND";"2";"17";"32.95";"44";"18";"17.7";"397.6";"<8.6-14.4>";180;"fading";"MIN(20)";"rising";"rising";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading";"fading"
"OMI CET";"2";"19";"20.78";"-2";"58";"39.5";"330.4";"<2.8-9.3>";961;"fading";"fading";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"MAX(31)";"fading";"fading";"fading";"fading"
"R CET";"2";"26";"2.31";"0";"10";"41.8";"166.4";"<7.5-12.9>";44;"rising";"MAX(27)";"fading";"fading";"fading";"MIN(2)";"rising";"MAX(13)";"fading";"fading";"MIN(16)";"rising";"MAX(26)"
"Z CEP";"2";"26";"17.38";"81";"40";"41.9";"279.1";"<10.4-15.1>";110;"fading";"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising";"MAX(26)";"fading";"fading";"fading";"fading"
"RR PER";"2";"28";"29.43";"51";"16";"17.1";"390.6";"<10.2-14.2>";70;"fading";"fading";"fading";"MIN(3)";"rising";"rising";"rising";"rising";"MAX(9)";"fading";"fading";"fading";"fading"
"R FOR";"2";"29";"15.31";"-26";"5";"55.7";"386.4";"<9.8-13.0>";34;"MIN(5)";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"fading";"fading";"MIN(27)"
"U CET";"2";"33";"43.66";"-13";"8";"54.3";"234.1";"<7.4-12.9>";75;"rising";"rising";"MAX(22)";"fading";"fading";"fading";"MIN(30)";"rising";"rising";"rising";"MAX(14)";"fading";"fading"
"R TRI";"2";"37";"2.33";"34";"15";"51.4";"266.9";"<6.1-11.2>";421;"MIN(7)";"rising";"rising";"rising";"MAX(17)";"fading";"fading";"fading";"MIN(31)";"rising";"rising";"rising";"rising"
