"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"S DEL";"20";"43";"4.87";"17";"5";"17.3";"278.2";"<9.2-12.0>";192;"MIN(18)";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading";"fading";"MIN(22)";"rising";"rising";"rising"
"Y AQR";"20";"44";"25.07";"-4";"50";"0.5";"382.9";"<9.6-14.6>";49;"fading";"fading";"MIN(24)";"rising";"MAX(20)";"fading";"fading";"MIN(31)";"rising";"rising";"rising";"MAX(28)";"fading"
"T DEL";"20";"45";"21.04";"16";"23";"55.8";"334.6";"<9.6-14.5>";79;"rising";"MAX(9)";"fading";"fading";"fading";"fading";"fading";"MIN(20)";"rising";"rising";"rising";"rising";"MAX(10)"
"W AQR";"20";"46";"25.01";"-4";"5";"0.3";"384.3";"<9.2-13.5>";29;"rising";"rising";"rising";"MAX(22)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(17)";"rising";"rising"
"V DEL";"20";"47";"46.03";"19";"20";"6.7";"532.6";"<11.5-16.8>";79;"fading";"MIN(5)";"rising";"rising";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading";"fading"
"U CAP";"20";"48";"8.59";"-14";"47";"1.1";"203.2";"<11.9-15.3>";40;"MIN(4)";"rising";"rising";"MAX(15)";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"MAX(5)";"fading";"fading"
"T AQR";"20";"49";"56.4";"-5";"8";"48";"202.8";"<8.2-13.0>";42;"fading";"MIN(16)";"rising";"rising";"MAX(17)";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"MAX(5)";"fading"
"RZ CYG";"20";"51";"53.19";"47";"21";"20.4";"276.2";"<11.0-12.3>";200;"rising";"rising";"MAX(1)";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"rising";"MAX(4)";"fading"
"X DEL";"20";"54";"54.13";"17";"38";"29.9";"280.0";"<9.6-14.6>";94;"MIN(2)";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"MAX(29)"
"UX CYG";"20";"55";"5.5";"30";"24";"52";"574.5";"<12.3-16.7>";76;"rising";"rising";"rising";"rising";"MAX(2)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading"
"X CEP";"20";"56";"10.14";"83";"3";"25.4";"530.7";"<10.8-16.6>";31;"fading";"MIN(12)";"rising";"rising";"rising";"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading";"fading"
"S IND";"20";"56";"23.27";"-54";"19";"26.7";"408.8";"<8.8-18.7>";22;"fading";"fading";"fading";"fading";"MIN(16)";"rising";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading"
"RR CAP";"21";"2";"20.77";"-27";"5";"14.8";"274.7";"<10.1-15.9>";25;"fading";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading"
"R VUL";"21";"4";"22.5";"23";"49";"18";"137.3";"<7.0-12.2>";205;"MIN(14)";"rising";"MAX(21)";"fading";"MIN(30)";"rising";"rising";"MAX(8)";"fading";"MIN(15)";"rising";"MAX(22)";"fading"
"TW CYG";"21";"5";"59.69";"29";"24";"21.3";"345.4";"<10.4-14.1>";134;"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading"
